task_id,specification,input_ports,clock_ports,reset_ports,sequential_task,reset_exposed,reset_behavior_specified,power_on_or_initial_state_language_explicit,uninitialized_state_prohibited,comprehensive_reset_coverage_required,native_unknown_initial_state_scoring,intent_sufficient_for_ref_xprop_001,functional_oracle,manual_review,evidence
cvdp_copilot_Carry_Lookahead_Adder_0001,cvdp_copilot_Carry_Lookahead_Adder_0001:input.prompt,"('i_A', 'i_B', 'i_Cin')",(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_Carry_Lookahead_Adder_0005,cvdp_copilot_Carry_Lookahead_Adder_0005:input.prompt,"('clk', 'reset', 'A', 'B', 'start')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_FIR_0001,cvdp_copilot_FIR_0001:input.prompt,"('current', 'element', 'accumulator', 'registered', 'fir_filter', 'clk', 'reset', 'input_sample', 'coeff0', 'coeff1', 'coeff2', 'coeff3')","('clk',)","('reset',)",True,True,True,False,False,True,False,True,True,True,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior', 'specification requires comprehensive state reset coverage')"
cvdp_copilot_FIR_0003,cvdp_copilot_FIR_0003:input.prompt,"('clk', 'reset', 'data_in', 'window_type')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_GFCM_0001,cvdp_copilot_GFCM_0001:input.prompt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_GFCM_0003,cvdp_copilot_GFCM_0003:input.prompt,"('clk1', 'clk2', 'rst_n', 'sel')","('clk1', 'clk2')","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk1, clk2', 'reset ports: rst_n', 'specification states reset behavior')"
cvdp_copilot_IIR_filter_0019,cvdp_copilot_IIR_filter_0019:input.prompt,"('clk', 'rst', 'x')","('clk',)","('rst',)",True,True,False,True,True,False,False,False,True,True,"('clock ports: clk', 'reset ports: rst', 'specification uses explicit power-on or initial-state language', 'specification prohibits uninitialized sequential state')"
cvdp_copilot_MSHR_0001,cvdp_copilot_MSHR_0001:input.prompt,"('clk', 'reset', 'allocate_valid', 'allocate_addr', 'allocate_rw', 'allocate_data', 'finalize_valid', 'finalize_id')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_MSHR_0008,cvdp_copilot_MSHR_0008:input.prompt,"('clk', 'reset', 'fill_valid', 'fill_id', 'dequeue_ready', 'allocate_valid', 'allocate_addr', 'allocate_rw', 'allocate_data', 'finalize_valid', 'finalize_id')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_Serial_Line_Converter_0001,cvdp_copilot_Serial_Line_Converter_0001:input.prompt,"('clk', 'reset_n', 'serial_in', 'mode')","('clk',)","('reset_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset_n', 'specification states reset behavior')"
cvdp_copilot_Serial_Line_Converter_0011,cvdp_copilot_Serial_Line_Converter_0011:input.prompt,"('clk', 'reset_n', 'serial_in', 'enable')","('clk',)","('reset_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset_n', 'specification states reset behavior')"
cvdp_copilot_String_to_ASCII_0001,cvdp_copilot_String_to_ASCII_0001:input.prompt,"('ascii_out', 'valid', 'ready')",(),(),True,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_Synchronous_Muller_C_Element_0001,cvdp_copilot_Synchronous_Muller_C_Element_0001:input.prompt,"('clk', 'srst', 'clr', 'clk_en', 'inp')","('clk',)","('srst',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: srst', 'specification states reset behavior')"
cvdp_copilot_adc_data_rotate_0001,cvdp_copilot_adc_data_rotate_0001:input.prompt,"('i_clk', 'i_rst_n', 'i_adc_data_in', 'i_shift_count', 'i_shift_direction')","('i_clk',)","('i_rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: i_clk', 'reset ports: i_rst_n', 'specification states reset behavior')"
cvdp_copilot_aes_key_expansion_0001,cvdp_copilot_aes_key_expansion_0001:input.prompt,"('clk', 'rst_async_n', 'i_start', 'i_key')","('clk',)","('rst_async_n',)",True,True,False,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_async_n')"
cvdp_copilot_ahb_clk_counter_0001,cvdp_copilot_ahb_clk_counter_0001:input.prompt,"('HCLK', 'HRESETn', 'HSEL', 'HADDR', 'HWRITE', 'HWDATA', 'HREADY')",(),(),True,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_alphablending_0003,cvdp_copilot_alphablending_0003:input.prompt,"('clk', 'reset', 'start', 'pixel_in', 'alpha_in', 'bg_pixel_in')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_apb_dsp_op_0002,cvdp_copilot_apb_dsp_op_0002:input.prompt,"('clk_dsp', 'en_clk_dsp', 'PCLK', 'PRESETn', 'PADDR', 'PWRITE', 'PWDATA', 'PSEL', 'PENABLE')","('clk_dsp',)",(),True,False,False,False,False,False,False,False,True,False,"('clock ports: clk_dsp',)"
cvdp_copilot_apb_dsp_unit_0001,cvdp_copilot_apb_dsp_unit_0001:input.prompt,(),(),(),True,False,False,False,False,True,False,True,True,True,"('specification requires comprehensive state reset coverage',)"
cvdp_copilot_apb_gpio_0001,cvdp_copilot_apb_gpio_0001:input.prompt,(),(),(),True,False,False,False,False,True,False,True,True,True,"('specification requires comprehensive state reset coverage',)"
cvdp_copilot_apb_gpio_0005,cvdp_copilot_apb_gpio_0005:input.prompt,"('pclk', 'preset_n', 'psel', 'paddr', 'penable', 'pwrite', 'pwdata', 'gpio_in')",(),(),True,False,False,False,False,True,False,True,True,True,"('specification requires comprehensive state reset coverage',)"
cvdp_copilot_apb_history_shift_register_0001,cvdp_copilot_apb_history_shift_register_0001:input.prompt,(),(),(),True,False,False,False,False,True,False,True,True,True,"('specification requires comprehensive state reset coverage',)"
cvdp_copilot_arithmetic_progression_generator_0003,cvdp_copilot_arithmetic_progression_generator_0003:input.prompt,"('clk', 'resetn', 'enable', 'start_val', 'step_size')","('clk',)",(),True,False,False,False,False,False,False,False,True,False,"('clock ports: clk',)"
cvdp_copilot_arithmetic_progression_generator_0015,cvdp_copilot_arithmetic_progression_generator_0015:input.prompt,"('clk', 'resetn', 'enable', 'start_val', 'step_size')","('clk',)",(),True,False,False,True,False,False,False,False,True,True,"('clock ports: clk', 'specification uses explicit power-on or initial-state language')"
cvdp_copilot_async_filo_0001,cvdp_copilot_async_filo_0001:input.prompt,"('w_clk', 'w_rst', 'push', 'r_rst', 'r_clk', 'pop', 'w_data')","('w_clk', 'r_clk')","('w_rst', 'r_rst')",True,True,True,False,False,False,False,False,True,False,"('clock ports: w_clk, r_clk', 'reset ports: w_rst, r_rst', 'specification states reset behavior')"
cvdp_copilot_async_filo_0025,cvdp_copilot_async_filo_0025:input.prompt,"('w_clk', 'w_rst', 'push', 'r_rst', 'r_clk', 'pop', 'w_data', 'bin', 'gray')","('w_clk', 'r_clk')","('w_rst', 'r_rst')",True,True,False,False,False,True,False,True,True,True,"('clock ports: w_clk, r_clk', 'reset ports: w_rst, r_rst', 'specification requires comprehensive state reset coverage')"
cvdp_copilot_axi_alu_0001,cvdp_copilot_axi_alu_0001:input.prompt,"('axi_clk_in', 'fast_clk_in', 'reset_in', 'axi_awvalid_i', 'axi_wvalid_i', 'axi_bready_i', 'axi_arvalid_i', 'axi_rready_i', 'axi_awaddr_i', 'axi_wdata_i', 'axi_araddr_i', 'axi_wstrb_i')",(),"('reset_in',)",True,True,True,False,False,False,False,False,True,False,"('reset ports: reset_in', 'specification states reset behavior')"
cvdp_copilot_axi_register_0001,cvdp_copilot_axi_register_0001:input.prompt,(),(),(),True,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_axi_stream_downscale_0001,cvdp_copilot_axi_stream_downscale_0001:input.prompt,"('clk', 'resetn', 's_valid', 's_data', 'm_ready')","('clk',)",(),True,False,False,False,False,True,False,True,True,True,"('clock ports: clk', 'specification requires comprehensive state reset coverage')"
cvdp_copilot_axi_stream_upscale_0001,cvdp_copilot_axi_stream_upscale_0001:input.prompt,(),(),(),True,False,False,False,False,True,False,True,True,True,"('specification requires comprehensive state reset coverage',)"
cvdp_copilot_axi_tap_0001,cvdp_copilot_axi_tap_0001:input.prompt,"('clk_i', 'rst_i', 'inport_awvalid_i', 'inport_awaddr_i', 'inport_wvalid_i', 'inport_wdata_i', 'inport_wstrb_i', 'inport_bready_i', 'inport_arvalid_i', 'inport_araddr_i', 'inport_rready_i', 'outport_awready_i', 'outport_wready_i', 'outport_bvalid_i', 'outport_bresp_i', 'outport_arready_i', 'outport_rvalid_i', 'outport_rdata_i', 'outport_rresp_i', 'outport_peripheral0_awready_i', 'outport_peripheral0_wready_i', 'outport_peripheral0_bresp_i', 'outport_peripheral0_bvalid_i', 'outport_peripheral0_arready_i', 'outport_peripheral0_rresp_i', 'outport_peripheral0_rvalid_i', 'outport_peripheral0_rdata_i')","('clk_i',)","('rst_i',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk_i', 'reset ports: rst_i', 'specification states reset behavior')"
cvdp_copilot_axi_tap_0009,cvdp_copilot_axi_tap_0009:input.prompt,"('clk_i', 'rst_i', 'inport_awvalid_i', 'inport_awaddr_i', 'inport_wvalid_i', 'inport_wdata_i', 'inport_wstrb_i', 'inport_bready_i', 'inport_arvalid_i', 'inport_araddr_i', 'inport_rready_i', 'outport_awready_i', 'outport_wready_i', 'outport_bvalid_i', 'outport_bresp_i', 'outport_arready_i', 'outport_rvalid_i', 'outport_rdata_i', 'outport_rresp_i', 'outport_peripheral0_awready_i', 'outport_peripheral0_wready_i', 'outport_peripheral0_bresp_i', 'outport_peripheral0_bvalid_i', 'outport_peripheral0_arready_i', 'outport_peripheral0_rresp_i', 'outport_peripheral0_rvalid_i', 'outport_peripheral0_rdata_i')","('clk_i',)","('rst_i',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk_i', 'reset ports: rst_i', 'specification states reset behavior')"
cvdp_copilot_axil_precision_counter_0001,cvdp_copilot_axil_precision_counter_0001:input.prompt,"('axi_aclk', 'axi_aresetn', 'axi_awvalid', 'axi_wvalid', 'axi_bready', 'axi_arvalid', 'axi_rready')","('axi_aclk',)",(),True,False,False,False,False,True,False,True,True,True,"('clock ports: axi_aclk', 'specification requires comprehensive state reset coverage')"
cvdp_copilot_axis_border_gen_0001,cvdp_copilot_axis_border_gen_0001:input.prompt,"('clk', 'resetn', 's_axis_tdata', 's_axis_tvalid', 's_axis_tlast', 's_axis_tuser', 'm_axis_tready')","('clk',)",(),True,False,False,False,False,False,False,False,True,False,"('clock ports: clk',)"
cvdp_copilot_axis_border_gen_0014,cvdp_copilot_axis_border_gen_0014:input.prompt,"('clk', 'resetn', 's_axis_tdata', 's_axis_tvalid', 's_axis_tlast', 's_axis_tuser', 'm_axis_tready')","('clk',)",(),True,False,False,False,False,False,False,False,True,False,"('clock ports: clk',)"
cvdp_copilot_axis_joiner_0001,cvdp_copilot_axis_joiner_0001:input.prompt,(),(),(),True,False,False,False,False,True,False,True,True,True,"('specification requires comprehensive state reset coverage',)"
cvdp_copilot_axis_mux_0001,cvdp_copilot_axis_mux_0001:input.prompt,"('aclk', 'aresetn', 'sel', 's_axis_tvalid', 's_axis_tdata', 's_axis_tkeep', 's_axis_tlast', 's_axis_tid', 's_axis_tdest', 's_axis_tuser', 'm_axis_tready')","('aclk',)",(),True,False,False,False,False,False,False,False,True,False,"('clock ports: aclk',)"
cvdp_copilot_barrel_shifter_0001,cvdp_copilot_barrel_shifter_0001:input.prompt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_barrel_shifter_0037,cvdp_copilot_barrel_shifter_0037:input.prompt,"('data_in', 'shift_bits', 'left_right')",(),(),True,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_barrel_shifter_0054,cvdp_copilot_barrel_shifter_0054:input.prompt,"('data_in', 'shift_bits', 'left_right', 'rotate_left_right', 'arithmetic_shift')",(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_barrel_shifter_0058,cvdp_copilot_barrel_shifter_0058:input.prompt,"('data_in', 'shift_bits', 'mode', 'left_right', 'mask')",(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_barrel_shifter_0064,cvdp_copilot_barrel_shifter_0064:input.prompt,"('data_in', 'shift_bits', 'mode', 'left_right', 'mask', 'enable', 'enable_parity')",(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_bcd_adder_0001,cvdp_copilot_bcd_adder_0001:input.prompt,"('a', 'b')",(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_bcd_counter_0001,cvdp_copilot_bcd_counter_0001:input.prompt,"('clk', 'rst')","('clk',)","('rst',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst', 'specification states reset behavior')"
cvdp_copilot_bcd_to_excess_3_0001,cvdp_copilot_bcd_to_excess_3_0001:input.prompt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_bcd_to_excess_3_0008,cvdp_copilot_bcd_to_excess_3_0008:input.prompt,"('bcd',)",(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_binary_multiplier_0012,cvdp_copilot_binary_multiplier_0012:input.prompt,"('A', 'B', 'valid_in')",(),(),True,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_binary_search_tree_sorting_0001,cvdp_copilot_binary_search_tree_sorting_0001:input.prompt,"('clk', 'reset', 'data_in', 'start')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_binary_search_tree_sorting_0014,cvdp_copilot_binary_search_tree_sorting_0014:input.prompt,"('clk', 'reset', 'start', 'search_key', 'root', 'keys', 'left_child', 'right_child')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_binary_to_BCD_0001,cvdp_copilot_binary_to_BCD_0001:input.prompt,"('binary_in',)",(),(),True,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_binary_to_BCD_0010,cvdp_copilot_binary_to_BCD_0010:input.prompt,"('binary_in',)",(),(),True,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_binary_to_BCD_0036,cvdp_copilot_binary_to_BCD_0036:input.prompt,"('binary_in',)",(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_binary_to_gray_0001,cvdp_copilot_binary_to_gray_0001:input.prompt,"('binary_in',)",(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_binary_to_gray_0013,cvdp_copilot_binary_to_gray_0013:input.prompt,"('binary_in',)",(),(),True,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_binary_to_one_hot_decoder_0001,cvdp_copilot_binary_to_one_hot_decoder_0001:input.prompt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_bit_synchronizer_0001,cvdp_copilot_bit_synchronizer_0001:input.prompt,"('aclk', 'bclk', 'rst_n', 'adata')","('aclk',)","('rst_n',)",True,True,True,False,False,True,False,True,True,True,"('clock ports: aclk', 'reset ports: rst_n', 'specification states reset behavior', 'specification requires comprehensive state reset coverage')"
cvdp_copilot_bus_arbiter_0001,cvdp_copilot_bus_arbiter_0001:input.prompt,"('reset', 'clk', 'req1', 'req2')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_bus_arbiter_0004,cvdp_copilot_bus_arbiter_0004:input.prompt,"('reset', 'clk', 'req1', 'req2')","('clk',)","('reset',)",True,True,True,True,False,False,False,False,True,True,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior', 'specification uses explicit power-on or initial-state language')"
cvdp_copilot_cache_lru_0001,cvdp_copilot_cache_lru_0001:input.prompt,"('clock', 'reset', 'index', 'way_select', 'access', 'hit')","('clock',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clock', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_cache_lru_0008,cvdp_copilot_cache_lru_0008:input.prompt,"('clock', 'reset', 'index', 'way_select', 'access', 'hit')","('clock',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clock', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_cache_lru_0011,cvdp_copilot_cache_lru_0011:input.prompt,"('clock', 'reset', 'index', 'way_select', 'access', 'hit')","('clock',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clock', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_cache_lru_0016,cvdp_copilot_cache_lru_0016:input.prompt,"('clock', 'reset', 'index', 'way_select', 'access', 'hit')","('clock',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clock', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_cache_lru_0019,cvdp_copilot_cache_lru_0019:input.prompt,"('clock', 'reset', 'index', 'way_select', 'access', 'hit')","('clock',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clock', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_cache_lru_0022,cvdp_copilot_cache_lru_0022:input.prompt,"('clock', 'reset', 'index', 'way_select', 'access', 'hit')","('clock',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clock', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_caesar_cipher_0001,cvdp_copilot_caesar_cipher_0001:input.prompt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_caesar_cipher_0024,cvdp_copilot_caesar_cipher_0024:input.prompt,"('input_phrase', 'key_phrase', 'decrypt')",(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_caesar_cipher_0038,cvdp_copilot_caesar_cipher_0038:input.prompt,"('input_char', 'key')",(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_car_parking_management_0001,cvdp_copilot_car_parking_management_0001:input.prompt,"('clk', 'reset', 'vehicle_entry_sensor', 'vehicle_exit_sensor')","('clk',)","('reset',)",True,True,True,True,False,False,False,False,True,True,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior', 'specification uses explicit power-on or initial-state language')"
cvdp_copilot_car_parking_management_0015,cvdp_copilot_car_parking_management_0015:input.prompt,"('clk', 'reset', 'vehicle_entry_sensor', 'vehicle_exit_sensor', 'digit')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_car_parking_management_0018,cvdp_copilot_car_parking_management_0018:input.prompt,"('clk', 'reset', 'vehicle_entry_sensor', 'vehicle_exit_sensor', 'current_time', 'current_slot', 'digit', 'parked_time', 'fee_per_hour', 'fee', 'slot', 'time_spent')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_car_parking_management_0031,cvdp_copilot_car_parking_management_0031:input.prompt,"('clk', 'reset', 'clear', 'vehicle_entry_sensor', 'vehicle_exit_sensor', 'current_time', 'current_slot', 'hour_of_day', 'digit', 'parked_time', 'fee_per_hour', 'fee', 'slot', 'time_spent')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_cascaded_adder_0001,cvdp_copilot_cascaded_adder_0001:input.prompt,"('clk', 'rst_n', 'i_valid', 'i_data')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
cvdp_copilot_cascaded_adder_0025,cvdp_copilot_cascaded_adder_0025:input.prompt,"('clk', 'rst_n', 'i_valid', 'i_data')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
cvdp_copilot_cdc_pulse_synchronizer_0004,cvdp_copilot_cdc_pulse_synchronizer_0004:input.prompt,"('src_clock', 'des_clock', 'rst_in', 'src_pulse')","('src_clock', 'des_clock')","('rst_in',)",True,True,False,False,False,False,False,False,True,False,"('clock ports: src_clock, des_clock', 'reset ports: rst_in')"
cvdp_copilot_cdc_pulse_synchronizer_0013,cvdp_copilot_cdc_pulse_synchronizer_0013:input.prompt,"('src_clock', 'des_clock', 'rst_in', 'src_pulse')","('src_clock', 'des_clock')","('rst_in',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: src_clock, des_clock', 'reset ports: rst_in', 'specification states reset behavior')"
cvdp_copilot_cellular_automata_0001,cvdp_copilot_cellular_automata_0001:input.prompt,"('clock', 'reset', 'CA_seed')","('clock',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clock', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_cellular_automata_0017,cvdp_copilot_cellular_automata_0017:input.prompt,"('clock', 'reset', 'CA_seed')","('clock',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clock', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_clock_divider_0003,cvdp_copilot_clock_divider_0003:input.prompt,"('clk', 'rst_n')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
cvdp_copilot_clock_jitter_detection_module_0003,cvdp_copilot_clock_jitter_detection_module_0003:input.prompt,"('clk', 'system_clk', 'rst')","('clk', 'system_clk')","('rst',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk, system_clk', 'reset ports: rst', 'specification states reset behavior')"
cvdp_copilot_coffee_machine_0001,cvdp_copilot_coffee_machine_0001:input.prompt,"('clk', 'rst_async_n', 'i_grind_delay', 'i_heat_delay', 'i_pour_delay', 'i_bean_sel', 'i_operation_sel', 'i_start', 'i_sensor')","('clk',)","('rst_async_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_async_n', 'specification states reset behavior')"
cvdp_copilot_comparator_0001,cvdp_copilot_comparator_0001:input.prompt,(),(),(),True,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_complex_multiplier_0001,cvdp_copilot_complex_multiplier_0001:input.prompt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_compression_engine_0001,cvdp_copilot_compression_engine_0001:input.prompt,"('clk', 'reset', 'num_i')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_concatenate_0001,cvdp_copilot_concatenate_0001:input.prompt,"('i_clk', 'i_rst_n', 'i_vector_1', 'i_vector_2', 'i_vector_3', 'i_vector_4', 'i_vector_5', 'i_vector_6')","('i_clk',)","('i_rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: i_clk', 'reset ports: i_rst_n', 'specification states reset behavior')"
cvdp_copilot_configurable_digital_low_pass_filter_0001,cvdp_copilot_configurable_digital_low_pass_filter_0001:input.prompt,"('clk', 'reset', 'data_in', 'valid_in', 'coeffs')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_configurable_digital_low_pass_filter_0004,cvdp_copilot_configurable_digital_low_pass_filter_0004:input.prompt,"('clk', 'reset', 'valid_in', 'data_in')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_configurable_digital_low_pass_filter_0011,cvdp_copilot_configurable_digital_low_pass_filter_0011:input.prompt,"('clk', 'reset', 'x_in', 'y_true')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
cvdp_copilot_configurable_digital_low_pass_filter_0014,cvdp_copilot_configurable_digital_low_pass_filter_0014:input.prompt,"('clk', 'reset', 'start', 'x_in', 'w_in', 'b_in')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
