task_id,specification,functional_oracle,public_reference_rtl,bounded_temporal_contract,persistence_temporal_contract,progress_or_liveness_contract,protocol_or_ordering_contract,temporal_contract_explicit,native_temporal_assertion_scoring,formal_temporal_scoring,finite_trace_temporal_scoring,reference_trace_scoring,synthesis_contract_explicit,equivalence_contract_explicit,synthesis_scoring,post_synthesis_behavior_scoring,formal_equivalence_scoring,temporal_contract_without_property_or_formal,progress_contract_without_formal,equivalence_contract_without_formal_equivalence,synthesis_contract_without_synthesis,manual_review,evidence
Arithmetic/Multiplier/multi_booth_8bit,Arithmetic/Multiplier/multi_booth_8bit/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Multiplier/multi_pipe_4bit,Arithmetic/Multiplier/multi_pipe_4bit/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Multiplier/multi_pipe_8bit,Arithmetic/Multiplier/multi_pipe_8bit/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Other/fixed_point_adder,Arithmetic/Other/fixed_point_adder/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Other/fixed_point_substractor,Arithmetic/Other/fixed_point_substractor/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Other/float_multi,Arithmetic/Other/float_multi/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Substractor/sub_64bit,Arithmetic/Substractor/sub_64bit/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Control/Counter/JC_counter,Control/Counter/JC_counter/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Control/Counter/counter_12,Control/Counter/counter_12/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Control/Counter/ring_counter,Control/Counter/ring_counter/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Control/Counter/up_down_counter,Control/Counter/up_down_counter/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Control/Finite State Machine/fsm,Control/Finite State Machine/fsm/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Control/Finite State Machine/sequence_detector,Control/Finite State Machine/sequence_detector/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Memory/FIFO/asyn_fifo,Memory/FIFO/asyn_fifo/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Memory/LIFO/LIFObuffer,Memory/LIFO/LIFObuffer/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Memory/Shifter/LFSR,Memory/Shifter/LFSR/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Memory/Shifter/barrel_shifter,Memory/Shifter/barrel_shifter/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Memory/Shifter/right_shifter,Memory/Shifter/right_shifter/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/Frequency divider/freq_div,Miscellaneous/Frequency divider/freq_div/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/Frequency divider/freq_divbyeven,Miscellaneous/Frequency divider/freq_divbyeven/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/Frequency divider/freq_divbyfrac,Miscellaneous/Frequency divider/freq_divbyfrac/design_description.txt,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …: one with 4 source clock cycles and another with 3 source clock cycles. In the next cycle, phase-shifted versions of the divided clock are generated. One phase is delaye…', 'public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/Frequency divider/freq_divbyodd,Miscellaneous/Frequency divider/freq_divbyodd/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/Others/calendar,Miscellaneous/Others/calendar/design_description.txt,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …nd Mins loop continuously from 0 to 59. When Secs=59, Min increases by 1 at the next cycle, and when Min=59 && Secs=59, Hours increases by 1 at the next cycle. Hours is c…', 'public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/Others/edge_detect,Miscellaneous/Others/edge_detect/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/Others/parallel2serial,Miscellaneous/Others/parallel2serial/design_description.txt,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …s output, and the remaining three bits are output sequentially in the following 3 cycles. Module name: parallel2serial Input ports: clk: Clock signal u…', 'public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/Others/pulse_detect,Miscellaneous/Others/pulse_detect/design_description.txt,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …nuous input, which is triggered by clk. When ""data_in"" changes from 0 to 1 to 0(3 cycles), this is considered as a ""pulse"". The indicating signal dataout is 1 at the en…', 'public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/Others/serial2parallel,Miscellaneous/Others/serial2parallel/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/Others/synchronizer,Miscellaneous/Others/synchronizer/design_description.txt,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …to clock a. The clock clk_b is responsible for the enable signal data_en delays two cycles, that is, two D flip-flops. This is done with reference to clock b. And the dat…', 'public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/Others/traffic_light,Miscellaneous/Others/traffic_light/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/Others/width_8to16,Miscellaneous/Others/width_8to16/design_description.txt,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …the 16-bit data output. The valid_out and data_out signals are generated in the next clock cycle after the two data inputs. When there is only one data input, valid_out and dat…', 'public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/RISC-V/RAM,Miscellaneous/RISC-V/RAM/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/RISC-V/ROM,Miscellaneous/RISC-V/ROM/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/RISC-V/alu,Miscellaneous/RISC-V/alu/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/RISC-V/clkgenerator,Miscellaneous/RISC-V/clkgenerator/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/RISC-V/instr_reg,Miscellaneous/RISC-V/instr_reg/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/RISC-V/pe,Miscellaneous/RISC-V/pe/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/Signal generation/signal_generator,Miscellaneous/Signal generation/signal_generator/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Miscellaneous/Signal generation/square_wave,Miscellaneous/Signal generation/square_wave/design_description.txt,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …1 to 0). If count has not reached freq, it simply increments by one on the next clock cycle. Square Wave Generation: The module produces a square wave by flipping the…', 'public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
