task_id,specification,input_ports,clock_ports,reset_ports,sequential_task,reset_exposed,reset_behavior_specified,power_on_or_initial_state_language_explicit,uninitialized_state_prohibited,comprehensive_reset_coverage_required,native_unknown_initial_state_scoring,intent_sufficient_for_ref_xprop_001,functional_oracle,manual_review,evidence
Control/Finite State Machine/sequence_detector,Control/Finite State Machine/sequence_detector/design_description.txt,"('clk', 'reset_n', 'data_in')","('clk',)","('reset_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset_n', 'specification states reset behavior')"
Memory/FIFO/asyn_fifo,Memory/FIFO/asyn_fifo/design_description.txt,"('wclk', 'rclk', 'wrstn', 'rrstn', 'winc', 'rinc', 'wdata')","('wclk', 'rclk')","('wrstn', 'rrstn')",True,True,True,False,False,False,False,False,True,False,"('clock ports: wclk, rclk', 'reset ports: wrstn, rrstn', 'specification states reset behavior')"
Memory/LIFO/LIFObuffer,Memory/LIFO/LIFObuffer/design_description.txt,"('RW', 'EN', 'Rst', 'Clk')","('Clk',)","('Rst',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: Clk', 'reset ports: Rst', 'specification states reset behavior')"
Memory/Shifter/LFSR,Memory/Shifter/LFSR/design_description.txt,"('clk', 'rst')","('clk',)","('rst',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst', 'specification states reset behavior')"
Memory/Shifter/barrel_shifter,Memory/Shifter/barrel_shifter/design_description.txt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
Memory/Shifter/right_shifter,Memory/Shifter/right_shifter/design_description.txt,"('clk', 'd')","('clk',)",(),True,False,False,False,False,False,False,False,True,False,"('clock ports: clk',)"
Miscellaneous/Frequency divider/freq_div,Miscellaneous/Frequency divider/freq_div/design_description.txt,"('CLK_in', 'RST')","('CLK_in',)","('RST',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: CLK_in', 'reset ports: RST', 'specification states reset behavior')"
Miscellaneous/Frequency divider/freq_divbyeven,Miscellaneous/Frequency divider/freq_divbyeven/design_description.txt,"('clk', 'rst_n')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Miscellaneous/Frequency divider/freq_divbyfrac,Miscellaneous/Frequency divider/freq_divbyfrac/design_description.txt,"('clk', 'rst_n')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Miscellaneous/Frequency divider/freq_divbyodd,Miscellaneous/Frequency divider/freq_divbyodd/design_description.txt,"('clk', 'rst_n')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Miscellaneous/Others/calendar,Miscellaneous/Others/calendar/design_description.txt,"('CLK', 'RST')","('CLK',)","('RST',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: CLK', 'reset ports: RST', 'specification states reset behavior')"
Miscellaneous/Others/edge_detect,Miscellaneous/Others/edge_detect/design_description.txt,"('clk', 'rst_n', 'a')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Miscellaneous/Others/parallel2serial,Miscellaneous/Others/parallel2serial/design_description.txt,"('clk', 'rst_n', 'd')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Miscellaneous/Others/pulse_detect,Miscellaneous/Others/pulse_detect/design_description.txt,"('ports',)",(),(),True,False,False,True,False,False,False,False,True,True,"('specification uses explicit power-on or initial-state language',)"
Miscellaneous/Others/serial2parallel,Miscellaneous/Others/serial2parallel/design_description.txt,"('clk', 'rst_n', 'din_serial', 'din_valid')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Miscellaneous/Others/synchronizer,Miscellaneous/Others/synchronizer/design_description.txt,"('clk_a', 'clk_b', 'arstn', 'brstn', 'data_in', 'data_en')","('clk_a', 'clk_b')","('arstn', 'brstn')",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk_a, clk_b', 'reset ports: arstn, brstn', 'specification states reset behavior')"
Miscellaneous/Others/traffic_light,Miscellaneous/Others/traffic_light/design_description.txt,(),(),(),True,False,False,False,False,False,False,False,True,False,()
Miscellaneous/Others/width_8to16,Miscellaneous/Others/width_8to16/design_description.txt,"('clk', 'rst_n', 'valid_in', 'data_in')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Miscellaneous/RISC-V/RAM,Miscellaneous/RISC-V/RAM/design_description.txt,"('clk', 'rst_n', 'write_en', 'write_addr', 'write_data', 'read_en', 'read_addr')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Miscellaneous/RISC-V/ROM,Miscellaneous/RISC-V/ROM/design_description.txt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
Miscellaneous/RISC-V/alu,Miscellaneous/RISC-V/alu/design_description.txt,"('a', 'b', 'aluc')",(),(),True,False,False,False,False,False,False,False,True,False,()
Miscellaneous/RISC-V/clkgenerator,Miscellaneous/RISC-V/clkgenerator/design_description.txt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
Miscellaneous/RISC-V/instr_reg,Miscellaneous/RISC-V/instr_reg/design_description.txt,"('clk', 'rst')","('clk',)","('rst',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst', 'specification states reset behavior')"
Miscellaneous/RISC-V/pe,Miscellaneous/RISC-V/pe/design_description.txt,"('clk', 'rst', 'a', 'b')","('clk',)","('rst',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst', 'specification states reset behavior')"
Miscellaneous/Signal generation/signal_generator,Miscellaneous/Signal generation/signal_generator/design_description.txt,"('clk', 'rst_n')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Miscellaneous/Signal generation/square_wave,Miscellaneous/Signal generation/square_wave/design_description.txt,"('clk',)","('clk',)",(),True,False,False,False,False,False,False,False,True,False,"('clock ports: clk',)"
