task_id,specification,input_ports,clock_ports,reset_ports,multi_clock,multi_reset,asynchronous_relation_explicit,synchronous_deassertion_explicit,reset_polarity_explicit,functional_oracle,constraint_files,structural_oracle_files,structural_risk_exposed,intent_sufficient_for_reference_audit,natively_structurally_scored,manual_review,evidence
Arithmetic/Multiplier/multi_pipe_8bit,Arithmetic/Multiplier/multi_pipe_8bit/design_description.txt,"('clk', 'rst_n', 'mul_en_in', 'mul_a', 'mul_b')","('clk',)","('rst_n',)",False,False,False,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n')"
Arithmetic/Other/fixed_point_adder,Arithmetic/Other/fixed_point_adder/design_description.txt,(),(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Arithmetic/Other/fixed_point_substractor,Arithmetic/Other/fixed_point_substractor/design_description.txt,(),(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Arithmetic/Other/float_multi,Arithmetic/Other/float_multi/design_description.txt,(),(),(),False,False,True,False,False,True,(),(),False,False,False,False,"('specification contains asynchronous/synchronization intent',)"
Arithmetic/Substractor/sub_64bit,Arithmetic/Substractor/sub_64bit/design_description.txt,(),(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Control/Counter/JC_counter,Control/Counter/JC_counter/design_description.txt,"('ports',)",(),(),False,False,False,False,True,True,(),(),False,False,False,False,()
Control/Counter/counter_12,Control/Counter/counter_12/design_description.txt,"('rst_n', 'clk', 'valid_count')","('clk',)","('rst_n',)",False,False,False,False,False,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n')"
Control/Counter/ring_counter,Control/Counter/ring_counter/design_description.txt,"('clk', 'reset')","('clk',)","('reset',)",False,False,False,False,False,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: reset')"
Control/Counter/up_down_counter,Control/Counter/up_down_counter/design_description.txt,"('clk', 'reset', 'up_down')","('clk',)","('reset',)",False,False,True,False,False,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: reset', 'specification contains asynchronous/synchronization intent')"
Control/Finite State Machine/fsm,Control/Finite State Machine/fsm/design_description.txt,"('IN', 'CLK', 'RST')","('CLK',)","('RST',)",False,False,False,False,False,True,(),(),False,False,False,False,"('clock ports: CLK', 'reset ports: RST')"
Control/Finite State Machine/sequence_detector,Control/Finite State Machine/sequence_detector/design_description.txt,"('clk', 'reset_n', 'data_in')","('clk',)","('reset_n',)",False,False,True,False,False,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: reset_n', 'specification contains asynchronous/synchronization intent')"
Memory/FIFO/asyn_fifo,Memory/FIFO/asyn_fifo/design_description.txt,"('wclk', 'rclk', 'wrstn', 'rrstn', 'winc', 'rinc', 'wdata')","('wclk', 'rclk')","('wrstn', 'rrstn')",True,True,True,False,True,True,(),(),True,True,False,True,"('clock ports: wclk, rclk', 'reset ports: wrstn, rrstn', 'specification contains asynchronous/synchronization intent')"
Memory/LIFO/LIFObuffer,Memory/LIFO/LIFObuffer/design_description.txt,"('RW', 'EN', 'Rst', 'Clk')","('Clk',)","('Rst',)",False,False,False,False,True,True,(),(),False,False,False,False,"('clock ports: Clk', 'reset ports: Rst')"
Memory/Shifter/LFSR,Memory/Shifter/LFSR/design_description.txt,"('clk', 'rst')","('clk',)","('rst',)",False,False,True,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst', 'specification contains asynchronous/synchronization intent')"
Memory/Shifter/barrel_shifter,Memory/Shifter/barrel_shifter/design_description.txt,(),(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Memory/Shifter/right_shifter,Memory/Shifter/right_shifter/design_description.txt,"('clk', 'd')","('clk',)",(),False,False,False,False,False,True,(),(),False,False,False,False,"('clock ports: clk',)"
Miscellaneous/Frequency divider/freq_div,Miscellaneous/Frequency divider/freq_div/design_description.txt,"('CLK_in', 'RST')","('CLK_in',)","('RST',)",False,False,False,False,False,True,(),(),False,False,False,False,"('clock ports: CLK_in', 'reset ports: RST')"
Miscellaneous/Frequency divider/freq_divbyeven,Miscellaneous/Frequency divider/freq_divbyeven/design_description.txt,"('clk', 'rst_n')","('clk',)","('rst_n',)",False,False,False,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n')"
Miscellaneous/Frequency divider/freq_divbyfrac,Miscellaneous/Frequency divider/freq_divbyfrac/design_description.txt,"('clk', 'rst_n')","('clk',)","('rst_n',)",False,False,False,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n')"
Miscellaneous/Frequency divider/freq_divbyodd,Miscellaneous/Frequency divider/freq_divbyodd/design_description.txt,"('clk', 'rst_n')","('clk',)","('rst_n',)",False,False,False,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n')"
Miscellaneous/Others/calendar,Miscellaneous/Others/calendar/design_description.txt,"('CLK', 'RST')","('CLK',)","('RST',)",False,False,False,False,True,True,(),(),False,False,False,False,"('clock ports: CLK', 'reset ports: RST')"
Miscellaneous/Others/edge_detect,Miscellaneous/Others/edge_detect/design_description.txt,"('clk', 'rst_n', 'a')","('clk',)","('rst_n',)",False,False,True,False,False,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n', 'specification contains asynchronous/synchronization intent')"
Miscellaneous/Others/parallel2serial,Miscellaneous/Others/parallel2serial/design_description.txt,"('clk', 'rst_n', 'd')","('clk',)","('rst_n',)",False,False,False,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n')"
Miscellaneous/Others/pulse_detect,Miscellaneous/Others/pulse_detect/design_description.txt,"('ports',)",(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Miscellaneous/Others/serial2parallel,Miscellaneous/Others/serial2parallel/design_description.txt,"('clk', 'rst_n', 'din_serial', 'din_valid')","('clk',)","('rst_n',)",False,False,False,False,False,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n')"
Miscellaneous/Others/synchronizer,Miscellaneous/Others/synchronizer/design_description.txt,"('clk_a', 'clk_b', 'arstn', 'brstn', 'data_in', 'data_en')","('clk_a', 'clk_b')","('arstn', 'brstn')",True,True,True,False,True,True,(),(),True,True,False,True,"('clock ports: clk_a, clk_b', 'reset ports: arstn, brstn', 'specification contains asynchronous/synchronization intent')"
Miscellaneous/Others/traffic_light,Miscellaneous/Others/traffic_light/design_description.txt,(),(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Miscellaneous/Others/width_8to16,Miscellaneous/Others/width_8to16/design_description.txt,"('clk', 'rst_n', 'valid_in', 'data_in')","('clk',)","('rst_n',)",False,False,False,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n')"
Miscellaneous/RISC-V/RAM,Miscellaneous/RISC-V/RAM/design_description.txt,"('clk', 'rst_n', 'write_en', 'write_addr', 'write_data', 'read_en', 'read_addr')","('clk',)","('rst_n',)",False,False,False,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n')"
Miscellaneous/RISC-V/ROM,Miscellaneous/RISC-V/ROM/design_description.txt,(),(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Miscellaneous/RISC-V/alu,Miscellaneous/RISC-V/alu/design_description.txt,"('a', 'b', 'aluc')",(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Miscellaneous/RISC-V/clkgenerator,Miscellaneous/RISC-V/clkgenerator/design_description.txt,(),(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Miscellaneous/RISC-V/instr_reg,Miscellaneous/RISC-V/instr_reg/design_description.txt,"('clk', 'rst')","('clk',)","('rst',)",False,False,True,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst', 'specification contains asynchronous/synchronization intent')"
Miscellaneous/RISC-V/pe,Miscellaneous/RISC-V/pe/design_description.txt,"('clk', 'rst', 'a', 'b')","('clk',)","('rst',)",False,False,False,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst')"
Miscellaneous/Signal generation/signal_generator,Miscellaneous/Signal generation/signal_generator/design_description.txt,"('clk', 'rst_n')","('clk',)","('rst_n',)",False,False,False,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n')"
Miscellaneous/Signal generation/square_wave,Miscellaneous/Signal generation/square_wave/design_description.txt,"('clk',)","('clk',)",(),False,False,False,False,False,True,(),(),False,False,False,False,"('clock ports: clk',)"
